Title,Link,Source,Published,Category,img,Scraped_At
‘Drone operators are hunted. You feel it from your first day’: the female pilots on Ukraine’s frontline,https://news.google.com/read/CBMiswFBVV95cUxPa1k2cU1KUEJ3RTQ0bjZib0hMM2hPc2xna0djUFJGal9ZTFVvd0JYRHhFNUV3bWpNbl9JYkZkMzFfU1A3V0FGUE5wdWl0Rk0tdGdtUXJMUXN1TXZIcVR3T3VPOXNCZHFDemNIckx6RlZXSlBEa1ZyUTItdzhmMktXQ3haZlg2Z296Z2F1OXlSMFBfSTZOdjdhU0tmai1ycVhRRHNBZnU2cDhzczdrOFp3N2k5TQ?hl=en-US&gl=US&ceid=US%3Aen,The Guardian,2 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iK0NnNTJlSHBrVWtaS1NpMVRYMGxRVFJDdkFoamdBeWdLTWdhMVVwWlFwUWc=-w200-h112-p-df-rw,2025-11-27T13:00:29.543193
"Pentagon seeks to add Alibaba, Baidu, BYD to China military list, Bloomberg News reports",https://news.google.com/read/CBMixgFBVV95cUxOUUFQLW5DZ1l6TF9tVzZraXBwakhTcm40ZllQc1oyU3UyeC1tbEFFaWRsblNCN1E0V0diQW5tMWwtSzRjWGlSOTVpY3ZvLUZoeFZoQUxDVU9sUWdJWEVZWmhZMjJZOVpRTDRWWXFUbF93OGNRcXFuX2YtbERpT2o1NU1ndnd4WksybFhCSFFIX3lFNnlnU1VERUFPZmRQekNJZ1Q2Ni01TUJ2ZFJMMGJMNU5uUng4Mmk1RmdKcGViNG9mTVc0MkE?hl=en-US&gl=US&ceid=US%3Aen,Reuters,12 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iL0NnNTZSbXBTVkhwT1dGcENjRXhYVFJERUF4aW1CU2dLTWdrQkVJVGl1S1JUVEFJ=-w200-h112-p-df-rw,2025-11-27T13:00:29.543208
"Ukraine, NATO launch joint program to boost counter-drone tech, other defense capabilities",https://news.google.com/read/CBMipAFBVV95cUxPaU1UaUNySzZ6OTY3NnJxS0lFYmdJNFRlZTNWcXZwQjQ2dTZ3LTd1LUFBTkhiOTc0RFVneEZGQkg5Yk5VZVpiQU4tYnFPbkVXckg3VHVteWdtaTRRRVhtSVd1QTV4a2phcElWQjE1NzRnRExrTXdncm0zc2gwcGNmWVhQbGdrZ2JiNTB4bldaMlJUYmpLUHRYTkZvSzVDMTFiQzM5aw?hl=en-US&gl=US&ceid=US%3Aen,DefenseScoop,19 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iK0NnNU5jRVYxYzJGVGVrbHhRMkpOVFJESUF4aWdCU2dLTWdZTlVvejB2QVU=-w200-h112-p-df-rw,2025-11-27T13:00:29.543210
Camp Blanding to host largest counter-drone destruction exercise in US history,https://news.google.com/read/CBMi7AFBVV95cUxPVklCSjllWmpGV2VDd3FqTG5uOWR3NnQ2cUV3cWpOTE5JYllGdWRSUk5KdU1tX2w0aU9XM3lGWjhJOWVWTG1kVTl3SW1STWVZSEFhb0lvLUxDQkQ4NFZIRjNUeTRTd2VCYnFKR25aU3VGbFJ0alVDRE9yYS01d2stcHB0dlhlb1NKWHNTcEJwM2JIZVBpLXR1dVpzVTFsclpSa2tkMjdrcGZGR1lFeUF3aDg2Vmt2TkdYV0hpbWhjQzFGMFU4SzJZc1hJNjRMamdvb1NMb05Ud2dZWkpLVDBpMzFtMFdCM2hBTXcwddIB7AFBVV95cUxPVklCSjllWmpGV2VDd3FqTG5uOWR3NnQ2cUV3cWpOTE5JYllGdWRSUk5KdU1tX2w0aU9XM3lGWjhJOWVWTG1kVTl3SW1STWVZSEFhb0lvLUxDQkQ4NFZIRjNUeTRTd2VCYnFKR25aU3VGbFJ0alVDRE9yYS01d2stcHB0dlhlb1NKWHNTcEJwM2JIZVBpLXR1dVpzVTFsclpSa2tkMjdrcGZGR1lFeUF3aDg2Vmt2TkdYV0hpbWhjQzFGMFU4SzJZc1hJNjRMamdvb1NMb05Ud2dZWkpLVDBpMzFtMFdCM2hBTXcwdQ?hl=en-US&gl=US&ceid=US%3Aen,Action News Jax,13 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iJ0NnNHliSEJzT1hkYWJXTnZja3RSVFJDZkF4ampCU2dLTWdNQlVBRQ=-w200-h112-p-df-rw,2025-11-27T13:00:29.543212
This newly-tested military laser called DragonFire absolutely obliterates drones,https://news.google.com/read/CBMifEFVX3lxTFBOM1ZkZlUyWGFNTW1VMDZzclQ2NFI2cmU3OWtmMGdtd1hHM1hiQ3B1R1ZvRjNCVi1RYlFLcE1LTTd3TDduVm1pRGZHRmhtWnJ6SVpZTGYtcjlLbDlNRWQ1UnFHRHJOUFFUdWZKUVBIWFVDUjNHTTM4MVFXRUk?hl=en-US&gl=US&ceid=US%3Aen,Axios,20 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iJ0NnNXZRM290T1VkdVgweGtSV0k1VFJDZkF4ampCU2dLTWdPSkJBSQ=-w200-h112-p-df-rw,2025-11-27T13:00:29.543214
The Army’s AH-64E Apache Helicopter Can Destroy Drones with Missiles,https://news.google.com/read/CBMipwFBVV95cUxNMUdUTkFhOWt6SU1KaEhpYjk4UV9DYVRKS0dTOE1haFo1Mm1PUENmMDJ1MTFxQTFIOTRaVENSRW1YQnVrSmktXzV2cHpyd0xmZ3pCcTZQdm0zWExwOXNsSWZMU3l2OVhqZE5YZ1N4cHNwX3ljMjdCS3Qwd2M4UzFrXy1SWkw0cUVXWDBnb25SS0JTdXQwR0lGNmJDT2NyVTFGSGpkLXh3Yw?hl=en-US&gl=US&ceid=US%3Aen,National Security Journal,13 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iL0NnNHdjVXd3VXpZMU5tUlBkamxsVFJDZkF4ampCU2dLTWdrQlFJYXNOR1ZyYXdJ=-w200-h112-p-df-rw,2025-11-27T13:00:29.543216
UK military to help protect Belgium after drone incursions,https://news.google.com/read/CBMiggFBVV95cUxPWU1Fd0JVbjRycGM2a2lLdFkwUmFEcjkxdFJmRTJIY3h1X2NNTGMwR0doY0I4VEdzWFI5eFh2d3FOUlpvMWcyWjVNbUFyWkxkdE5TUnBlYU55bVZzTU1NeXh4WC1KTHZmOVZWWkF4MXVuempfZTZZMmM2WmhhWFh5dWR3?hl=en-US&gl=US&ceid=US%3Aen,AOL.com,14 hours ago,🎯 Military Drones,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.aol.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2025-11-27T13:00:29.543218
Drones aren't just for the military,https://news.google.com/read/CBMihgFBVV95cUxOaVNBT2otemJiRk1ZbGIweTlJMW5mWjB4MUVmdVJHUmRqcE5ZYmM1ZnRhNG5CY0NubVU3cWpKbW03VVJUbmQxVnQ2NjVMQ3RYdWlDS21hc3RsZ0FNSi04enZGeU81YmFFZV9RVjhHQzlFcmtLZXA2eS0tOFBUbE9mRHc4Uklzdw?hl=en-US&gl=US&ceid=US%3Aen,Sedalia Democrat,15 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iK0NnNDJhMUZtY0hWek0yMVZkVWR1VFJDVEJSalNBeWdLTWdZaFpKS01LUWM=-w200-h112-p-df-rw,2025-11-27T13:00:29.543222
Fortem Technologies Cleared to Sell Counter-Drone Systems Directly to US Army,https://news.google.com/read/CBMidEFVX3lxTE93YUppcFVCamVJcmRDLVVQcWw0MF9LakRRUFZ4V051V0dlZy1HanhTd3Znc0IxME82Z2tmeUZqcnFWU3h3Zll4M0tsNFQ1RFlWLUs0aTVxMVZmVy1lWlZnbXkzbjlzWVNqMDluM2VBQzhReVJr0gF6QVVfeXFMT2QxZC1EaUR3a1ZtYnlVdlhHQ3lzb0s4bjd4akF4TVNmLXRQc3NUMjNMQjJtdlV0UTlPOTdRc1g5OHpqMHFvXzMxbUxSSjlaa0RVbmRPbjBUX0pTRTBRQnl3cTVZYVNFdE9XV1AzdDFtdFlxcHBQaVhPUVE?hl=en-US&gl=US&ceid=US%3Aen,The Defense Post,22 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iJ0NnNVNSbFZyYXpKNGNUQlVZbU50VFJDZkF4ampCU2dLTWdOVlFDSQ=-w200-h112-p-df-rw,2025-11-27T13:00:29.543224
Taiwan to host briefing for military drone procurement,https://news.google.com/read/CBMiWEFVX3lxTE96alNiNG4zOWhGZXBxYnV5a0hUZUFqam1KeE1nbUIxNnFWNmUyckVQanA4eXl0cEVtTmJXYlcyTkZzRXJfcjhTWF9RTGZsTjFJS3dYMUlXUVQ?hl=en-US&gl=US&ceid=US%3Aen,Taiwan News,10 hours ago,🎯 Military Drones,https://news.google.com/api/attachments/CC8iK0NnNXFkbWN3WW5Bd1RsUnRSbTh0VFJDa0F4amFCU2dLTWdhSm80Uk9QUVU=-w200-h112-p-df-rw,2025-11-27T13:00:29.543226
